X,Y,fid,gml_id,OBJECTID,C_S_Nr,C_S_Name,C_S_SG,C_S_Str,C_S_HNr,C_S_PLZ,C_S_Ort,C_S_Email,C_S_HomeP,C_S_GEO_X,C_S_GEO_Y,C_S_Status,C_S_SF,C_S_SF_Sta,C_S_GTA,C_S_Traeg,C_S_SI,C_S_PrSt,C_S_SuS,C_S_SuS_ES,C_S_SuS_PS,C_S_SuS_S1,C_S_SuS_S2,Schwerpunkt
562923.101,5934285.86199999973,C_2015_Schulen_PrSt.68,ide7ae5eb6-da3b-4e10-8b62-843716204e26,107,5206,Louise Schroeder Schule,21005,Thedestraße,100,22767,Hamburg,louise-schroeder-schule@bsb.hamburg.de,http://www.louise-schroeder-schule.hamburg.de,562923.101,5934285.862,staatl.,G,G,GTS ohne Träger,,3,PrSt,487,64,423,0,0,1
573399.074,5942625.94199999981,C_2015_Schulen_PrSt.69,id8e558924-bb31-4bf1-b85a-363ecdcf5281,108,5208,Grundschule Karlshöhe mit Zweigstellen,63002,Lienaustraße,32,22175,Hamburg,grundschule-karlshoehe-mit-zweigstellen@bsb.hamburg.de,http://www.grundschule-karlshoehe.hamburg.de,573399.074,5942625.942,staatl.,G,G,GBS (immer mit Träger),,5,PrSt,426,60,366,0,0,
558563.186,5934191.178,C_2015_Schulen_PrSt.70,idf52b8090-93dc-421a-9cb4-b7449a122700,109,5209,Schule Klein Flottbeker Weg,27002,Klein Flottbeker Weg,64,22605,Hamburg,schule-klein-flottbeker-weg@bsb.hamburg.de,http://www.klein-flottbeker-weg.hamburg.de,558563.186,5934191.178,staatl.,G,G,GBS (immer mit Träger),,6,PrSt,308,38,270,0,0,
559715.386,5934192.959,C_2015_Schulen_PrSt.71,iddec57ce6-12f7-439e-bc9e-91304456aeae,110,5210,Loki-Schmidt-Schule,27008,Othmarscher Kirchenweg,145,22763,Hamburg,loki-schmidt-schule@bsb.hamburg.de,http://www.loki.hamburg.de,559715.386,5934192.959,staatl.,G,G,GBS (immer mit Träger),,4,PrSt,268,24,244,0,0,1
561545.567,5933698.34399999958,C_2015_Schulen_PrSt.72,id5243c24a-692e-4914-a6b0-78447dd8be61,111,5211,Schule Rothestraße,24014,Rothestraße,22,22765,Hamburg,schule-rothestrasse@bsb.hamburg.de,http://www.schule-rothestrasse.hamburg.de,561545.567,5933698.344,staatl.,G,G,GTS ohne Träger,,5,PrSt,403,24,379,0,0,
562625.988,5933593.91,C_2015_Schulen_PrSt.73,id2d86bfa9-9460-48fc-b10d-169c21e52e6c,112,5212,Ganztagsschule an der Elbe,21011,Struenseestraße,32,22767,Hamburg,ganztagsschule-an-der-elbe@bsb.hamburg.de,http://www.gtselbe.hamburg.de,562625.988,5933593.91,staatl.,G,G,GTS ohne Träger,,2,PrSt,146,16,130,0,0,
563255.719,5934668.24199999962,C_2015_Schulen_PrSt.74,id835cf1d2-bad0-436b-90ab-8e90929e182c,113,5214,Grundschule Thadenstraße,21006,Thadenstraße,147,22767,Hamburg,grundschule-thadenstrasse@bsb.hamburg.de,http://www.grundschule-thadenstrasse.de,563255.719,5934668.242,staatl.,G,G,GTS ohne Träger,,4,PrSt,435,31,404,0,0,
562362.833,5934910.33299999963,C_2015_Schulen_PrSt.75,idecc56702-1376-4e69-8774-d544cd0cf23c,114,5216,Theodor-Haubach-Schule,23009,Haubachstraße,55,22765,Hamburg,Theodor-Haubach-Schule@bsb.hamburg.de,http://www.theodor-haubach-schule.hamburg.de,562362.833,5934910.333,staatl.,G,G,GTS ohne Träger,,3,PrSt,271,22,249,0,0,
560325.196,5933661.805,C_2015_Schulen_PrSt.76,id323353ca-faf6-4c8e-9776-52a64e2fdfbe,115,5217,Schule Trenknerweg,27009,Trenknerweg,136,22605,Hamburg,schule-trenknerweg@bsb.hamburg.de,http://www.schuletrenknerweg.de,560325.196,5933661.805,staatl.,G,G,GBS (immer mit Träger),,5,PrSt,422,50,372,0,0,
559640.766,5934041.286,C_2015_Schulen_PrSt.77,id908c0567-e5c6-4da2-a6dc-54fef2431d1b,116,5219,Schule Hirtenweg,27008,Holmbrook,10,22605,Hamburg,schule-hirtenweg@bsb.hamburg.de,http://www.schule-hirtenweg.hamburg.de,559640.766,5934041.286,staatl.,SO,SO,GTS ohne Träger,,-1,PrSt,191,0,49,130,12,
572971.758,5936345.24299999978,C_2015_Schulen_PrSt.78,id95934ff4-b78a-4275-8f5e-ef40f080de69,117,5220,Grundschule Schimmelmannstraße,59004,Schimmelmannstraße,70,22043,Hamburg,grundschule-schimmelmannstr@bsb.hamburg.de,http://www.schule-schimmelmannstrasse.hamburg.de,572971.758,5936345.243,staatl.,G,G,GBS (immer mit Träger),,4,PrSt,387,42,345,0,0,
556254.798,5936124.65,C_2015_Schulen_PrSt.79,idaf47568a-00d3-40e7-a292-cd911a805211,118,5231,Grundschule Goosacker,29010,Goosacker,41,22549,Hamburg,Grundschule-Goosacker@bsb.hamburg.de,http://www.grundschulegoosacker.de,556254.798,5936124.65,staatl.,G,G,GBS (immer mit Träger),,4,PrSt,292,40,252,0,0,
553065.292,5935361.053,C_2015_Schulen_PrSt.80,id52ee4cff-77df-4bfa-afa3-fc9cd6a7b3b8,119,5232,Gorch-Fock-Schule,31004,Karstenstraße,22,22587,Hamburg,gorch-fock-schule@bsb.hamburg.de,http://www.gorch-fock-schule.de,553065.292,5935361.053,staatl.,G,G,GBS (immer mit Träger),,6,PrSt,509,69,440,0,0,
550388.674,5936510.284,C_2015_Schulen_PrSt.81,ida8949d3f-82c7-4feb-bbf1-b82e44843f14,120,5234,Schule Iserbarg,34007,Iserbarg,2,22559,Hamburg,schule-iserbarg@bsb.hamburg.de,http://www.schule-iserbarg.de,550388.674,5936510.284,staatl.,G,G,GBS (immer mit Träger),,5,PrSt,348,55,293,0,0,1
552341.563,5937639.305,C_2015_Schulen_PrSt.82,ide5e7a43e-ef1a-4522-84e4-c8bc21adb46c,121,5235,Schule Lehmkuhlenweg,33001,Lehmkuhlenweg,19,22589,Hamburg,schule-lehmkuhlenweg@bsb.hamburg.de,http://www.schule-lehmkuhlenweg.de,552341.563,5937639.305,staatl.,G,G,GBS (immer mit Träger),,6,PrSt,314,45,269,0,0,
550418.192,5937574.81699999981,C_2015_Schulen_PrSt.83,idf3a606c2-01d6-4e8e-b1ed-e7a186bee961,122,5236,Schule Marschweg,34002,Marschweg,10,22559,Hamburg,schule-marschweg@bsb.hamburg.de,http://www.grundschule-marschweg.de,550418.192,5937574.817,staatl.,G,G,GBS (immer mit Träger),,6,PrSt,309,47,262,0,0,
559996.061,5935362.67399999965,C_2015_Schulen_PrSt.84,id368e6ece-3f24-4fed-8f6e-b9bf89d06b41,123,5237,Schule Mendelssohnstraße,25011,Mendelssohnstraße,86,22761,Hamburg,schule-mendelssohnstrasse@bsb.hamburg.de,http://www.grundschule-mendelssohnstrasse.de,559996.061,5935362.674,staatl.,G,G,GBS (immer mit Träger),,2,PrSt,297,31,266,0,0,1
553782.327,5937150.168,C_2015_Schulen_PrSt.85,id54cf774a-2e49-4d7b-950d-a3bb7f470d83,124,5238,Schule Iserbrook,32001,Musäusstraße,29,22589,Hamburg,schule-iserbrook@bsb.hamburg.de,http://www.schule-iserbrook.de,553782.327,5937150.168,staatl.,G,G,GTS ohne Träger,,5,PrSt,221,23,198,0,0,
559215.64,5935755.113,C_2015_Schulen_PrSt.86,idb2d89db1-34be-4b1d-8354-5e343ee070b6,125,5239,Grundschule Groß Flottbek,25006,Osdorfer Weg,24,22607,Hamburg,grundschule-gross-flottbek@bsb.hamburg.de,http://www.grundschule-grossflottbek.hamburg.de,559215.64,5935755.113,staatl.,G,G,GBS (immer mit Träger),,5,PrSt,348,33,315,0,0,
554572.93,5936856.68,C_2015_Schulen_PrSt.87,id4a34393f-3e1b-43f3-8324-334c57bebf29,126,5240,Schule Schenefelder Landstraße,32003,Schenefelder Landstraße,206,22589,Hamburg,schule-schenefelder-landstrasse@bsb.hamburg.de,http://www.schela.de,554572.93,5936856.68,staatl.,G,G,GBS (immer mit Träger),,4,PrSt,203,24,179,0,0,
556127.334,5934135.66899999976,C_2015_Schulen_PrSt.88,ida8a1c8df-7259-4eae-aa53-40e5845ad2cd,127,5243,Schule Schulkamp,30004,Schulkamp,1,22609,Hamburg,schule-schulkamp@bsb.hamburg.de,http://www.schule-schulkamp.hamburg.de,556127.334,5934135.669,staatl.,G,G,GBS (immer mit Träger),,6,PrSt,274,0,274,0,0,
557679.912,5935686.80599999987,C_2015_Schulen_PrSt.89,idb20eebfa-87e9-44cb-bff4-2bd7d2400d71,128,5244,Schule Windmühlenweg,26001,Windmühlenweg,17,22607,Hamburg,schule-windmuehlenweg@bsb.hamburg.de,http://www.schule-windmuehlenweg.de,557679.912,5935686.806,staatl.,G,G,GBS (immer mit Träger),,6,PrSt,415,43,372,0,0,
559555.826,5936430.35699999984,C_2015_Schulen_PrSt.90,id9c881a8b-f8b5-40aa-a30a-37dc1bf4b540,129,5245,Schule Kielkamp,25001,Kielkamp,16,22761,Hamburg,schule-kielkamp@bsb.hamburg.de,http://www.schule-kielkamp.Hamburg.de,559555.826,5936430.357,staatl.,SO,SO,GTS ohne Träger,,-1,PrSt,132,0,48,77,7,
564842.015,5934239.048,C_2015_Schulen_PrSt.91,idd2e7f6a0-4511-4e08-8b1a-5b2650842bec,130,5248,Rudolf-Roß-Grundschule,3006,Kurze Straße,30,20355,Hamburg,rudolf-ross-grundschule@bsb.hamburg.de,http://www.rudolf-ross-grundschule.de,564842.015,5934239.048,staatl.,G,G,GTS ohne Träger,,3,PrSt,316,40,276,0,0,
571216.852,5934974.19699999969,C_2015_Schulen_PrSt.92,id9c08dddf-0c80-4e67-8c59-0cdc7ce34cfc,131,5250,Grundschule Horn,11001,Rhiemsweg,61,22111,Hamburg,grundschule-horn@bsb.hamburg.de,http://www.grundschulehorn.de,571216.852,5934974.197,staatl.,G,G,GBS (immer mit Träger),,2,PrSt,255,34,221,0,0,
576373.821,5941557.632,C_2015_Schulen_PrSt.93,id1c9069fe-4884-433f-b5e7-21e9c8c1fe09,132,5252,Grundschule Nydamer Weg,74012,Nydamer Weg,44,22145,Hamburg,grundschule-nydamer-weg@bsb.hamburg.de,http://www.schule-nydamer-weg.hamburg.de,576373.821,5941557.632,staatl.,G,G,GBS (immer mit Träger),,4,PrSt,340,46,294,0,0,
557662.751,5940286.21899999958,C_2015_Schulen_PrSt.94,id3777dec2-fe02-4eba-82c3-dc2f284be0e8,133,5263,Grundschule Franzosenkoppel,28002,Franzosenkoppel,118,22547,Hamburg,grundschule-franzosenkoppel@bsb.hamburg.de,http://www.schule-franzosenkoppel.de,557662.751,5940286.219,staatl.,G,G,GTS ohne Träger,,3,PrSt,272,43,229,0,0,
557554.821,5939367.68099999987,C_2015_Schulen_PrSt.95,id50e3fcd8-d835-495b-8cbc-296f1d3bad9a,134,5264,Fridtjof-Nansen-Schule,28003,Swatten Weg,10,22547,Hamburg,fridtjof-nansen-schule@bsb.hamburg.de,http://www.fns.hamburg.de/,557554.821,5939367.681,staatl.,G,G,GTS ohne Träger,,3,PrSt,568,67,501,0,0,1
559550.519,5939967.159,C_2015_Schulen_PrSt.96,id3e79da22-a39c-4298-8c66-0bba5fbb4e36,135,5265,Schule Furtweg,42015,Furtweg,56,22523,Hamburg,schule-furtweg@bsb.hamburg.de,http://www.schule-furtweg.de,559550.519,5939967.159,staatl.,G,G,GBS (immer mit Träger),,3,PrSt,257,49,208,0,0,
558875.54,5938978.51499999966,C_2015_Schulen_PrSt.97,id85efe8cd-bf54-4a7d-a97b-bd627b773a61,136,5267,Schule Langbargheide,28006,Langbargheide,40,22547,Hamburg,schule-langbargheide@bsb.hamburg.de,http://www.schule-langbargheide.de/,558875.54,5938978.515,staatl.,G,G,GBS (immer mit Träger),,1,PrSt,243,17,226,0,0,1
557784.524,5938323.456,C_2015_Schulen_PrSt.98,id895d99de-36b1-422b-af67-d0c22416abaf,137,5270,Grundschule Luruper Hauptstraße,28010,Luruper Hauptstraße,131,22547,Hamburg,grundschule-luruper-hauptstrasse@bsb.Hamburg.de,http://www.luruperhauptstrasse.hamburg.de,557784.524,5938323.456,staatl.,G,G,GBS (immer mit Träger),,3,PrSt,208,38,170,0,0,
559409.056,5941182.23199999984,C_2015_Schulen_PrSt.99,id47e07f5a-4a84-45b1-bfb6-baa0eebfbfa7,138,5271,Max-Traeger-Schule,42003,Baumacker,10,22523,Hamburg,max-traeger-schule@bsb.hamburg.de,http://www.max-traeger-schule.hamburg.de,559409.056,5941182.232,staatl.,G,G,GBS (immer mit Träger),,2,PrSt,158,19,139,0,0,
560283.582,5940663.14099999983,C_2015_Schulen_PrSt.100,idd2a92b43-b0ae-4088-97c2-301fd2e13712,139,5274,Schule Rungwisch,42014,Rungwisch,23,22523,Hamburg,Schule-Rungwisch@bsb.hamburg.de,http://www.schule-rungwisch.de,560283.582,5940663.141,staatl.,G,G,GBS (immer mit Träger),,3,PrSt,274,37,237,0,0,
573408.242,5932978.11099999957,C_2015_Schulen_SekI.1,ideab3ef1b-c582-4af5-9744-68249492b3c2,3,3203,Katholische Schule St. Paulus,12014,Öjendorfer Weg,14,22111,Hamburg,Sekretariat@kath-schule-st-paulus.kshh.de,http://www.kath-schule-st-paulus.de,573408.242,5932978.111,privat,STS,STSp,GTS ohne Träger,Katholischer Schulverband Hamburg,3,PrSt,646,55,293,298,0,
563335.257,5934928.298,C_2015_Schulen_SekI.2,idff6e6a4d-1a66-41f6-8f80-45efa494d282,4,3204,Katholische Schule Altona,21002,Dohrnweg,6,22767,Hamburg,sekretariat@kath-schule-altona.kshh.de,http://www.katholische-schule-altona.de,563335.257,5934928.298,privat,STS,STSp,GTS ohne Träger,Katholischer Schulverband Hamburg,2,PrSt,298,20,131,147,0,
569827.651,5937897.37899999972,C_2015_Schulen_SekI.3,id32ea1e0b-c390-4510-a2eb-3134f538d8eb,10,3210,Franz-von-Assisi-Schule,53024,Lämmersieth,38,22305,Hamburg,sekretariat@franz-von-assisi-schule.kshh.de,http://www.franz-von-assisi-schule.kshh.de,569827.651,5937897.379,privat,STS,STSp,GTS ohne Träger,Katholischer Schulverband Hamburg,3,,250,0,0,250,0,
564388.602,5923649.642,C_2015_Schulen_SekI.4,idcf027122-773b-46b7-9a5a-9831382b8ab8,16,3216,Katholische Schule Harburg,88006,Reeseberg,8,21073,Hamburg,sekretariat@kath-schule-harburg.kshh.de,,564388.602,5923649.642,privat,STS,STSp,GTS ohne Träger,Katholischer Schulverband Hamburg,3,PrSt,690,66,297,327,0,
565436.761,5928874.437,C_2015_Schulen_SekI.5,idda3a2042-0b19-4104-86af-95a2e844142e,17,3217,Katholische Bonifatiusschule,16015,Bonifatiusstraße,2,21107,Hamburg,schule@bonifatiusschule.de,http://www.bonifatiusschule.de/,565436.761,5928874.437,privat,STS,STSp,GTS ohne Träger,Katholischer Schulverband Hamburg,3,PrSt,637,38,296,303,0,
567993.87,5941340.93499999959,C_2015_Schulen_SekI.6,idd8b992c7-cb30-4e77-b604-edfe93565d5e,18,3218,"Bugenhagen-Schule Alsterdorf, Schule für Kinder mit besonderem Förderbedarf",47006,Alsterdorfer Straße,506,22337,Hamburg,schulbuero@bugi.de,http://www.bugi.de,567993.87,5941340.935,privat,SO,SOp,GTS ohne Träger,Evangelische Stiftung Alsterdorf,-1,PrSt,134,0,42,74,18,
568335.26,5934786.64099999983,C_2015_Schulen_SekI.7,idb0c86f8b-66aa-46be-ae99-971f17021b91,19,3219,Sankt-Ansgar-Schule,7001,Bürgerweide,33,20535,Hamburg,sekretariat@sankt-ansgar-schule.kshh.de,http://www.sankt-ansgar-schule.de,568335.26,5934786.641,privat,GY,GYp,GTS ohne Träger,Katholischer Schulverband Hamburg,5,,807,0,0,594,213,
565935.169,5935251.154,C_2015_Schulen_SekI.8,id15abc7ae-14bb-46b8-b0f2-e45421b1f488,20,3220,Sophie-Barat-Schule,36011,Warburgstraße,39,20354,Hamburg,sekretariat@sbshh.de,http://www.sophie-barat-schule.de/,565935.169,5935251.154,privat,GY,GYp,GTS ohne Träger,Katholischer Schulverband Hamburg,6,,923,0,0,725,198,
556060.735,5925113.5,C_2015_Schulen_SekI.9,ida2af111f-90c2-4cf0-8cb0-f510d7794da5,21,3222,Katholische Schule Neugraben,101012,Cuxhavener Straße,379,21149,Hamburg,sekretariat@kath-schule-neugraben.kshh.de,,556060.735,5925113.5,privat,STS,STSp,GBS (immer mit Träger),Katholischer Schulverband Hamburg,3,PrSt,462,40,234,188,0,
567993.87,5941340.93499999959,C_2015_Schulen_SekI.10,idc640a013-1af5-4f4c-992d-4e07d8f173c3,22,3223,Bugenhagen-Schule Alsterdorf (Stadtteilschule),47006,Alsterdorfer Straße,506,22337,Hamburg,schulbuero@bugi.de,http://www.bugi.de,567993.87,5941340.935,privat,STS,STSp,GTS ohne Träger,Evangelische Stiftung Alsterdorf,-1,,529,0,0,441,88,
564499.72,5923648.307,C_2015_Schulen_SekI.11,id856afb60-729b-4792-8a19-441b1d9cd9e0,23,3224,Niels-Stensen-Gymnasium,88006,Barlachstraße,16,21073,Hamburg,Leitung@Niels-Stensen-Gymnasium.kshh.de,http://www.niels-stensen-gymnasium.de,564499.72,5923648.307,privat,GY,GYp,GTS ohne Träger,Katholischer Schulverband Hamburg,4,,542,0,0,375,167,
553487.469,5935111.05599999987,C_2015_Schulen_SekI.12,id89f251d6-08db-44c8-9fa8-548daa6b040c,32,3233,Bugenhagen-Schule im Hessepark (Stadtteilschule),31004,Oesterleystraße,22,22587,Hamburg,schulbuero@bugi.de,,553487.469,5935111.056,privat,STS,STSp,GTS ohne Träger,Evangelische Stiftung Alsterdorf,-1,,324,0,0,266,58,
557098.249,5936673.257,C_2015_Schulen_PrSt.101,ide66f9752-43b9-4f07-9e67-00e23d9a1296,140,5277,Schule Wesperloh,29009,Wesperloh,19,22549,Hamburg,schule-wesperloh@bsb.hamburg.de,http://www.wesperloh.de,557098.249,5936673.257,staatl.,G,G,GBS (immer mit Träger),,4,PrSt,336,46,290,0,0,
556032.659,5938083.093,C_2015_Schulen_PrSt.102,id0fbadce6-6264-4b6e-8ca0-3c5070cd5143,141,5278,Schule Kroonhorst,29006,Kroonhorst,25,22549,Hamburg,schule-kroonhorst@bsb.hamburg.de,http://www.schule-kroonhorst.de,556032.659,5938083.093,staatl.,G,G,GTS ohne Träger,,1,PrSt,211,28,183,0,0,
556715.026,5937487.116,C_2015_Schulen_PrSt.103,ide3345373-e36b-4814-a84f-c3cc07421205,142,5280,Schule Barlsheide,29004,Bornheide,2,22549,Hamburg,Schule-Barlsheide@bsb.hamburg.de,http://www.schule-barlsheide.hamburg.de,556715.026,5937487.116,staatl.,G,G,GTS ohne Träger,,1,PrSt,396,50,346,0,0,1
564086.006,5936733.22,C_2015_Schulen_PrSt.104,idf5c25ef2-97dc-4fa6-9565-c70b13cf126e,143,5301,Schule An der Isebek,35020,Bismarckstraße,83,20253,Hamburg,schule-an-der-isebek@bsb.hamburg.de,http://www.schule-an-der-isebek.hamburg.de,564086.006,5936733.22,staatl.,G,G,GBS (immer mit Träger),,6,PrSt,361,22,339,0,0,
564053.602,5937392.24,C_2015_Schulen_PrSt.105,iddc0f5d4a-4a69-4310-8807-deaf742de88d,144,5304,Grundschule Hoheluft,38003,Wrangelstraße,80,20253,Hamburg,grundschule-hoheluft@bsb.hamburg.de,http://www.grundschule-hoheluft.hamburg.de,564053.602,5937392.24,staatl.,G,G,GTS ohne Träger,,5,PrSt,299,31,268,0,0,
562718.763,5936318.23199999984,C_2015_Schulen_PrSt.106,id3d8ddcc0-8770-45d7-8bd2-dbca23a6a899,145,5305,Schule Eduardstraße,35014,Eduardstraße,28,20257,Hamburg,schule-eduardstrasse@bsb.hamburg.de,http://www.schule-eduardstrasse.hamburg.de,562718.763,5936318.232,staatl.,G,G,GTS ohne Träger,,2,PrSt,164,14,150,0,0,
564509.151,5936340.917,C_2015_Schulen_PrSt.107,idf3fddfb6-d42b-4729-917c-6a8d043f32a3,146,5308,Schule Kielortallee,35026,Bundesstraße,94,20144,Hamburg,Schule-Kielortallee@bsb.hamburg.de,http://www.schule-kielortallee.hamburg.de,564509.151,5936340.917,staatl.,G,G,GBS (immer mit Träger),,5,PrSt,437,41,396,0,0,1
562305.494,5937739.51599999983,C_2015_Schulen_PrSt.108,id32350cc9-c1fa-4968-badb-909ea8dd212a,147,5309,Schule Brehmweg,43013,Brehmweg,62,22527,Hamburg,schule-brehmweg@bsb.hamburg.de,http://www.grundschule-brehmweg.hamburg.de,562305.494,5937739.516,staatl.,G,G,GBS (immer mit Träger),,2,PrSt,250,37,213,0,0,
563113.696,5937322.80399999954,C_2015_Schulen_PrSt.109,idd3e87143-ddf8-48d5-b3a1-2e631fa73cf0,148,5310,Schule Lutterothstraße,35003,Lutterothstraße,34,20255,Hamburg,schule-lutterothstrasse@bsb.hamburg.de,http://www.lutterothschule.de/,563113.696,5937322.804,staatl.,G,G,GBS (immer mit Träger),,4,PrSt,374,39,335,0,0,
562401.068,5936554.915,C_2015_Schulen_PrSt.110,id31fd340f-20a6-4240-b2b5-383178b87207,149,5312,Schule Rellinger Straße,35012,Rellinger Straße,13,20257,Hamburg,schule-rellinger-strasse@bsb.hamburg.de,http://www.schule-rellinger-strasse.de,562401.068,5936554.915,staatl.,G,G,GTS ohne Träger,,5,PrSt,392,26,260,106,0,1
563137.019,5936498.905,C_2015_Schulen_PrSt.111,id9fbb3624-f9a4-4ce9-b93d-b4c592982cbc,150,5315,Schule Tornquiststraße,35015,Tornquiststraße,60,20259,Hamburg,Schule-Tornquiststrasse@bsb.hamburg.de,http://www.die-tornis.de,563137.019,5936498.905,staatl.,G,G,GBS (immer mit Träger),,5,PrSt,335,38,297,0,0,
565682.715,5936291.48699999973,C_2015_Schulen_PrSt.112,id04c52a1d-a607-4516-88c5-c9e05e464006,151,5316,Schule Turmweg,36004,Turmweg,33,20148,Hamburg,schule-turmweg@bsb.hamburg.de,http://www.schule-turmweg.hamburg.de,565682.715,5936291.487,staatl.,G,G,GBS (immer mit Träger),,6,PrSt,510,67,443,0,0,
560815.583,5944625.14499999955,C_2015_Schulen_PrSt.113,ide24d8d40-093c-48d4-843a-30d4759d486b,152,5328,Schule Rönnkamp,41003,Rönnkamp,3,22457,Hamburg,schule-roennkamp@bsb.hamburg.de,http://www.roennkamp.de,560815.583,5944625.145,staatl.,G,G,GBS (immer mit Träger),,5,PrSt,203,23,180,0,0,1
560754.126,5944121.619,C_2015_Schulen_PrSt.114,id800d7392-f7e0-4320-ace8-cba8c8dc3993,153,5330,Schule Anna-Susanna-Stieg,41005,Anna-Susanna-Stieg,3,22457,Hamburg,schule-anna-susanna-stieg@bsb.hamburg.de,http://www.schule-anna-susanna-stieg.hamburg.de,560754.126,5944121.619,staatl.,G,G,GBS (immer mit Träger),,4,PrSt,379,59,320,0,0,
562615.127,5941987.227,C_2015_Schulen_PrSt.115,idab8b5795-e46e-4d76-90bf-48bb970e2988,154,5331,Grundschule Bindfeldweg,40016,Bindfeldweg,37,22459,Hamburg,Grundschule-Bindfeldweg@bsb.hamburg.de,http://www.bindfeldweg.de,562615.127,5941987.227,staatl.,G,G,GBS (immer mit Träger),,5,PrSt,259,40,219,0,0,
563747.053,5942603.477,C_2015_Schulen_PrSt.116,id23d7cc26-9b33-47e6-a450-54a501fde0bf,155,5332,Schule Burgunderweg,40008,Burgunderweg,2,22453,Hamburg,Schule-Burgunderweg@bsb.hamburg.de,http://www.schule-burgunderweg.hamburg.de,563747.053,5942603.477,staatl.,G,G,GBS (immer mit Träger),,5,PrSt,381,53,328,0,0,
558871.832,5941593.39499999955,C_2015_Schulen_PrSt.117,id9b3bd78e-3a04-44ac-8ef3-d30c5df5c32f,156,5333,Schule Heidacker,42001,Heidacker,13,22523,Hamburg,schule-heidacker@bsb.hamburg.de,http://www.schule-heidacker.hamburg.de,558871.832,5941593.395,staatl.,G,G,GBS (immer mit Träger),,4,PrSt,239,23,216,0,0,
569290.077,5939697.557,C_2015_Schulen_SekI.13,ida81c0f61-e4a5-4258-846a-697477fc3e59,33,5043,Stadtteilschule Helmuth Hübener,53006,Langenfort,68,22307,Hamburg,stadtteilschule-helmuth-huebener@bsb.hamburg.de,http://www.helmuthhuebener.de,569290.077,5939697.557,staatl.,STS,STS,GTS ohne Träger,,2,,1046,0,0,828,218,
563272.722,5938998.318,C_2015_Schulen_PrSt.118,id56ac40f9-92b8-41c2-ad3a-a4983088efae,157,5334,Schule Döhrnstraße,39006,Döhrnstraße,42,22529,Hamburg,schule-doehrnstrasse@bsb.hamburg.de,http://schule-doehrnstrasse.schulhomepages.hamburg.de,563272.722,5938998.318,staatl.,G,G,GBS (immer mit Träger),,5,PrSt,441,63,378,0,0,
560856.086,5943034.342,C_2015_Schulen_PrSt.119,id45c890fc-d3e9-492d-a404-dde07cff4195,158,5335,Schule Frohmestraße,41009,Frohmestraße,42,22457,Hamburg,schule-frohmestrasse@bsb.hamburg.de,http://www.schule-frohmestrasse.hamburg.de,560856.086,5943034.342,staatl.,G,G,GBS (immer mit Träger),,4,PrSt,364,42,322,0,0,
562555.427,5939793.70299999975,C_2015_Schulen_PrSt.120,id4078d325-69b6-4fb5-950e-4a60b474cf83,159,5336,Schule Hinter der Lieth,39002,Hinter der Lieth,61,22529,Hamburg,schule-hinter-der-lieth@bsb.hamburg.de,http://www.schule-hinter-der-lieth.hamburg.de,562555.427,5939793.703,staatl.,G,G,GBS (immer mit Träger),,5,PrSt,302,37,265,0,0,
561273.26,5938218.207,C_2015_Schulen_PrSt.121,id528c34fb-6af7-44e7-94ff-dd6dd1e6914e,160,5339,Schule Molkenbuhrstraße,43011,Molkenbuhrstraße,2,22525,Hamburg,Schule-Molkenbuhrstrasse@bsb.hamburg.de,http://www.schule-molkenbuhrstrasse.hamburg.de,561273.26,5938218.207,staatl.,G,G,GTS ohne Träger,,3,PrSt,182,23,159,0,0,
562369.702,5943133.47,C_2015_Schulen_PrSt.122,id983a3d73-0c45-4c21-83c4-fb664b0e7211,161,5342,Schule Sethweg,40010,Sethweg,56,22455,Hamburg,schule-sethweg@bsb.hamburg.de,http://www.schule-sethweg.hamburg.de,562369.702,5943133.47,staatl.,G,G,GBS (immer mit Träger),,5,PrSt,331,41,290,0,0,
562925.745,5938173.944,C_2015_Schulen_PrSt.123,ida2700807-25fe-4655-a4e3-a0415a7502ab,162,5344,Schule Vizelinstraße,39007,Vizelinstraße,50,22529,Hamburg,schule-vizelinstrasse@bsb.hamburg.de,http://www.schule-vizelinstrasse.hamburg.de,562925.745,5938173.944,staatl.,G,G,GTS ohne Träger,,1,PrSt,295,34,205,56,0,
561152.762,5939732.39699999988,C_2015_Schulen_PrSt.124,id2bc6a990-6072-414c-b37e-1171e7d9203e,163,5345,Schule Wegenkamp,43001,Wegenkamp,9,22527,Hamburg,schule-wegenkamp@bsb.hamburg.de,http://www.wegenkamp.de,561152.762,5939732.397,staatl.,G,G,GBS (immer mit Träger),,3,PrSt,208,37,171,0,0,
564296.469,5940259.17899999954,C_2015_Schulen_PrSt.125,id960790ba-5557-4561-b2d7-005bc5635629,164,5346,Schule Lokstedter Damm,46004,Lokstedter Damm,38,22453,Hamburg,Schule-Lokstedter-Damm@bsb.hamburg.de,,564296.469,5940259.179,staatl.,SO,SO,GTS ohne Träger,,-1,PrSt,103,0,29,59,15,
562423.991,5944099.30599999987,C_2015_Schulen_PrSt.126,idfc14758c-fe88-4a61-9e6a-a14671299380,165,5347,Schule Moorflagen,40005,Wagrierweg,18,22455,Hamburg,Schule-Moorflagen@bsb.hamburg.de,http://www.schule-moorflagen.hamburg.de,562423.991,5944099.306,staatl.,G,G,GBS (immer mit Träger),,4,PrSt,218,39,179,0,0,1
