Schul-nummer,Kreis,Gemeinde,Rechtsform,Gesamtschule,Name der Schule,PLZ,Schulort,"Straße, Hausnummer",Telefon-vorwahl,Telefon-nummer,Ausländische Schüler,Kennung Internat,Vorklassen,Grundschulen,Förderstufe,Hauptschule,Mittelstufen-schule,Realschule,Integrierte Jahrgangs-stufe,Gymnasien,Förderschulen,Schulen für Erwachsene,Schüler insg. mit Vorklassen,Schüler insg. ohne Vorklassen,Fax,Email Adresse
4295,413,0,1,,Wilhelmschule,63065,Offenbach am Main,Wilhelmstraße 12,69,80653564,92,,11,271,,,,,,,,,298,287,80653565,poststelle@wilhelm.offenbach.schulverwaltung.hessen.de
4296,636,3,2,2,Freie Waldorfschule Werra-Meißner,37269,Eschwege,Am Bahnhof 2,5651,754396,,,,58,,,,,68,,,,126,126,754398,info@waldorfschule-werra-meissner.de
4297,414,0,1,,Grundschule Sauerland,65199,Wiesbaden,Föhrer Straße 78,611,314561,16,,16,220,,,,,,,,,236,220,314908,poststelle@grundschule-sauerland.wiesbaden.schulverwaltung.hessen.de
4298,534,18,1,,Grundschule Erksdorf/Hatzbach,35260,Stadtallendorf,Ringstraße 2,6428,2835,3,,,68,,,,,,,,,68,68,442108,poststelle@grundschule.erksdorf-hatzbach.schulverwaltung.hessen.de
4299,432,11,1,,Schule im Angelgarten,64846,Groß-Zimmern,Dresdener Straße 1 a,6071,749769,17,,,178,,,,,,,,,178,178,749353,poststelle@sia.gross-zimmern.schulverwaltung.hessen.de
4300,413,0,2,,Marianne-Frostig-Schule,63069,Offenbach am Main,Auf der Rosenhöhe 55,69,83837960,6,,,29,31,23,,33,,,,,116,116,83835298,poststelle@marianne-frostig.offenbach.schulverwaltung.hessen.de
4301,412,0,1,,Astrid-Lindgren-Schule,60431,Frankfurt am Main,Platenstraße 75,69,94548590,36,,12,297,,,,,,,,,309,297,945485917,poststelle@astrid-lindgren-schule.frankfurt.schulverwaltung.hessen.de
4302,437,11,1,,Schule am Hollerbusch,64720,Michelstadt,Dr.-Albach-Straße 31,6061,7000911,23,,,160,,,,,,,,,174,174,7000922,poststelle@sah.michelstadt.schulverwaltung.hessen.de
4303,414,0,1,,Krautgartenschule -Im Sampel-,55246,Mainz-Kostheim,Steinern Straße 54,6134,603447,13,,,258,,,,,,,,,258,258,603449,poststelle@krautgartenschule.wiesbaden.schulverwaltung.hessen.de
4304,531,5,2,2,Sophie-Scholl-Schule,35394,Gießen,Rödgener Straße 72,641,944300,15,,,239,,,,,202,,,,441,441,9443010,poststelle@sophie-scholl.giessen.schulverwaltung.hessen.de
4305,438,7,2,2,Freie Schule Seligenstadt,63533,Mainhausen,Schulstraße 11,6182,898151,,,,26,,,,,33,,,,59,59,9597571,info@freie-schule-seligenstadt.de
4306,414,0,2,,Montessorischule Wiesbaden,65201,Wiesbaden,Butterblumenweg 5,611,1842457,3,,,123,,,,,,,,,123,123,1842458,poststelle@montessori.wiesbaden.schulverwaltung.hessen.de
4307,436,5,1,,Regenbogenschule,65795,Hattersheim am Main,Astrid-Lindgren-Straße 2,6190,892130,42,,14,231,,,,,,,,,245,231,892147,poststelle@regenbogen.hattersheim.schulverwaltung.hessen.de
4308,436,4,1,,Paul-Maar-Schule,65439,Flörsheim am Main,Werner-von-Siemens-Str. 20,6145,957640,23,,,254,,,,,,,,,266,266,957655,poststelle@paul-maar.floersheim.schulverwaltung.hessen.de
4309,434,6,2,,Montessori-Schule Kronberg,61476,Kronberg im Taunus,Le Lavandou Straße 2,6173,317071,3,,5,80,,,,,,,,,85,80,317877,info@montessori-kronberg.de
4310,531,10,2,,Evangelische Grundschule Freienseen,35321,Laubach,Oberseener Weg 9,6405,950450,,,,55,31,,,,,,,,86,86,501288,info@grundschule-freienseen.de
4311,437,11,2,,Evangelische Grundschule,64720,Michelstadt,Dorfstraße 36,6061,949615,,,,30,,,,,,,,,30,30,949624,ev.grundschule.weiten-gesaess@ekhn-net.de
4312,437,12,1,,Grundschule Mossautal,64756,Mossautal,Güttersbacher Straße 2,6062,266320,5,,,68,,,,,,,,,68,68,2663220,poststelle@g.mossautal.schulverwaltung.hessen.de
4313,440,8,2,,Montessori-Campus-Friedberg,61169,Friedberg,Schulze-Delitzsch-Straße 2,6031,166700,,,,74,,,,,,,,,74,74,1667015,grundschule@montessori-wetterau.de
4314,437,6,1,,Astrid-Lindgren-Schule,64711,Erbach,Am Drachenfeld 10,6062,956390,6,,,135,,,,,,,,,135,135,9563920,poststelle@als.erbach.schulverwaltung.hessen.de
4315,531,5,1,,Alexander-von-Humboldt-Schule,35398,Gießen,Gleiberger Weg 25,641,3063410,63,,,,,,202,25,,,,,249,249,3063420,poststelle@alexander-von-humboldt.giessen.schulverwaltung.hessen.de
4316,532,23,2,,Peter-Härtling-Schule,35578,Wetzlar,Steinbühlstraße 13 c,6441,2009884,3,,,32,,,,,,,,,32,32,2093049,schule@lhww.de
4317,431,2,1,,Grundschule in den Kappesgärten,64625,Bensheim,Josef-Treffert-Straße 7,6251,7802890,15,,,150,,,,,,,,,150,150,7802896,poststelle@g.kappesgaerten.schulverwaltung.hessen.de
4318,436,4,1,,Sophie-Scholl-Schule,65439,Flörsheim am Main,Jahnstr. 47,6145,54540,110,,,,,113,,706,,,,,840,840,545466,poststelle@sophie-scholl.floersheim.schulverwaltung.hessen.de
4319,435,6,2,,Katharina-von-Bora-Schule,63486,Bruchköbel,Leopold-Wittekindt-Straße 2,6183,928801,1,,,69,,,,,,,,,69,69,928802,kvb-schule@ekkw.de
4320,414,0,2,2,Freie Christliche Schule Wiesbaden,65195,Wiesbaden,Finkenweg 2,611,4090124,18,,,92,,,,,136,,,,228,228,4090125,info@fcsw.de
4321,439,8,1,,Grundschule auf der Au,65510,Idstein,Auf der Au 34,6126,229898,33,,12,315,,,,,,,,,327,315,229599,poststelle@gsada.idstein.schulverwaltung.hessen.de
4322,438,13,1,,Merianschule,63500,Seligenstadt,Einhardstraße 63,6182,9938680,131,,,,179,87,,385,,,,,680,680,99386825,poststelle@merian.seligenstadt.schulverwaltung.hessen.de
4323,435,14,1,,Schulzentrum Hessen-Homburg,63452,Hanau,Hessen-Homburg-Platz 9,6181,610400,250,,,,,175,,365,,,2,,575,575,6104012,poststelle@sz-hessen-homburg.hanau.schulverwaltung.hessen.de
4324,412,0,2,,Lycée Français Victor Hugo,60488,Frankfurt am Main,Gontardstraße 11,69,7474980,271,,,326,,,,,,244,,,570,570,747498142,secretariat@lfvh.net
4325,412,0,2,2,Aktive Schule Frankfurt,60433,Frankfurt am Main,Wacholderweg 5,69,54000984,1,,,31,,,,,49,,,,80,80,54000985,aktive-schule-frankfurt@t-online.de
4326,440,24,1,,Jim-Knopf-Schule,61200,Wölfersheim,Zur Grundschule 13,6036,989751,17,,15,348,,,,,,,,,363,348,989752,poststelle@jkwoe.woelfersheim.schulverwaltung.hessen.de
4327,434,8,1,,Grundschule am Eichwäldchen,61440,Oberursel (Taunus),Eichwäldchenweg 6,6171,698110,24,,,204,,,,,,,,,204,204,6981130,poststelle@gck.oberursel.schulverwaltung.hessen.de
4328,439,13,1,,Julius-Alberti-Schule,65385,Rüdesheim am Rhein,Friedrichstraße 19,6722,2955,36,,,181,,,,,,,,,181,181,500618,poststelle@julius-alberti-schule.ruedesheim.schulverwaltung.hessen.de
4330,411,0,2,2,Freie Montessori-Schule Darmstadt,64295,Darmstadt,Berliner Allee 5,6151,6014440,3,,,50,,,,,55,,,,105,105,6017283,info@montessori-darmstadt.de
4331,432,8,1,,Schule am Kiefernwäldchen,64347,Griesheim,Am Kiefernwäldchen 2,6155,604211,11,,15,,,,,,,,88,,103,88,605791,poststelle@sak.griesheim.schulverwaltung.hessen.de
4332,411,0,1,,Erich Kästner-Schule Grundschule,64289,Darmstadt,Wickopweg 2,6151,790970,107,,,546,,,,,,,,,564,564,712349,poststelle@erich-kaestner-schule.darmstadt.schulverwaltung.hessen.de
4333,411,0,2,,Georg-Müller-Schule,64293,Darmstadt,Benzweg 3,6151,7895326,,,,63,,,,,,,,,63,63,7895984,info@gms-da.de
4380,412,0,1,,Grundschule Riedberg,60438,Frankfurt am Main,Zur Kalbacher Höhe 15,69,21273300,31,,,366,,,,,,,,,366,366,21273330,poststelle@grundschule-riedberg.frankfurt.schulverwaltung.hessen.de
4381,412,0,2,,Erasmus-von-Rotterdam-Schule,60325,Frankfurt am Main,Friedrich-Ebert-Anlage 44,69,90743640,19,,,197,,,,,,,,,197,197,907436412,info@erasmus-schule.eu
4382,412,0,2,2,Metropolitan School Frankfurt,60489,Frankfurt am Main,Eschborner Landstr. 134-138,69,96864050,174,,,167,,,,,187,,,,354,354,968640520,ferres@m-school.de
4383,412,0,2,,Phorms Frankfurt,60322,Frankfurt am Main,Fürstenberger Straße 3-9,69,17392550,86,,,537,,,,,,149,,,686,686,17392574,frankfurt@phorms.de
4384,412,0,1,,Liesel-Oestreicher-Schule,60435,Frankfurt am Main,Boskoopstraße 6,69,21273475,31,,,362,,,,,,,,,362,362,21273500,poststelle.liesel-oestreicher-schule@stadt-frankfurt.de
4385,412,0,1,,Ludwig-Börne-Schule,60311,Frankfurt am Main,Lange Straße 30-36,69,21233056,180,,,,,167,,172,,,,,363,363,21231646,poststelle@ludwig-boerne-schule.frankfurt.schulverwaltung.hessen.de
4386,412,0,1,2,IGS Herder,60316,Frankfurt am Main,Wittelsbacher Allee 6-12,69,21235334,85,,,,,,,,581,,,,581,581,21240536,poststelle@igs-herder.frankfurt.schulverwaltung.hessen.de
4387,412,0,1,,Gymnasium Riedberg,60438,Frankfurt am Main,Friedrich-Dessauer-Straße 2,69,21244001,108,,,,,,,,,1208,,,1208,1208,21244610,poststelle@gymnasium-riedberg.frankfurt.schulverwaltung.hessen.de
4388,412,0,1,,Panoramaschule,65934,Frankfurt am Main,Werner-Bockelmann-Straße 3,69,21271008,56,,,,,,,,,,175,,175,175,21271049,poststelle@pbb.frankfurt.schulverwaltung.hessen.de
4389,412,0,2,,Rackow-Schule Frankfurt,60320,Frankfurt am Main,Eckenheimer Landstraße 303,69,552754,24,,,,,,,135,,,,,135,135,557763,poststelle@rackow.frankfurt.schulverwaltung.hessen.de
4390,412,0,2,,Mundanis - Frankfurter Stadtschule,60486,Frankfurt am Main,Voltastraße 1 a,69,25628890,5,,,131,,,,,,18,,,149,149,2562889150,info@mundanis.srh.de
4391,412,0,1,2,IGS West,65929,Frankfurt am Main,Palleskestraße 60,69,21271770,107,,,,,,,,572,,,,572,572,21275974,poststelle@igswest.frankfurt.schulverwaltung.hessen.de
4392,412,0,2,,Katharina-die-Große-Schule,60326,Frankfurt am Main,Idsteiner Straße 91,69,57804316,10,,,20,,,,,,,,,20,20,95454575,info@katharina-schule.de
4673,440,8,1,,Johannes-Vatter-Schule,61169,Friedberg,Homburger Straße 20,6031,608602,26,%,5,,,,,,,,166,,171,166,608620,poststelle@as-jvs.friedberg.schulverwaltung.hessen.de
4674,440,8,1,,Helmut-von-Bracken-Schule,61169,Friedberg,Im Wingert 7,6031,6920510,17,,,,,,,,,,86,,86,86,69205120,poststelle@vbfb.friedberg.schulverwaltung.hessen.de
4675,440,8,1,,Wartbergschule,61169,Friedberg,Friedensstraße 17,6031,3717,13,,,,,,,,,,87,,87,87,13282,poststelle@wafb.friedberg.schulverwaltung.hessen.de
4677,412,0,2,,Schule im Reinhardshof,60437,Frankfurt am Main,Alt Erlenbach 87,6101,545061,6,%,,,,,,,,,20,,20,20,545030,schule@kinderheimat-reinhardshof.de
4679,440,3,1,,Brunnenschule,61118,Bad Vilbel,Kurt-Moosdorf-Straße 75,6101,83533,7,,,,,,,,,,30,,30,30,509243,poststelle@brbv.bad-vilbel.schulverwaltung.hessen.de
4681,435,4,1,,Haidefeldschule,63633,Birstein,Im Haidefeld 12,6054,5100,1,,,,,,,,,,45,,45,45,917640,poststelle@haidefeld.birstein.schulverwaltung.hessen.de
4683,435,18,1,,Martinsschule,63589,Linsengericht,Brentanostraße 9,6051,97530,11,,,,,,,,,,68,,68,68,975377,poststelle@martinsschule.linsengericht.schulverwaltung.hessen.de
4684,531,3,2,,Martin-Luther-Schule,35418,Buseck,Leppermühle 1,6408,509142,2,%,,,,,,,,,315,,315,315,509145,mls_buseck@t-online.de
4685,531,12,1,,Lindenschule,35440,Linden,Burgstraße 5,6403,8520,2,,,,,,,,,,13,,13,13,926003,poststelle@linden.linden.schulverwaltung.hessen.de
4686,531,6,1,,Gallus-Schule,35305,Grünberg,Struppiusstraße 18,6401,7475,4,,,,,,,,,,124,,124,124,3231,poststelle@gallus.gruenberg.schulverwaltung.hessen.de
4688,531,11,1,,Anna-Freud-Schule,35423,Lich,Erich-Kästner-Straße 14,6404,7879,6,,,,,,,,,,135,,135,135,664129,poststelle@anna-freud.lich.schulverwaltung.hessen.de
4691,433,4,1,,Schillerschule,64579,Gernsheim,Schillerplatz 1,6258,2388,10,,,,,,,,,,61,,61,61,52231,poststelle@schiller.gernsheim.schulverwaltung.hessen.de
4692,433,6,1,,Goetheschule,64521,Groß-Gerau,Goethestraße 1,6152,2618,50,,,,,,,,,,120,,137,137,84431,poststelle@goethe.gross-gerau.schulverwaltung.hessen.de
4693,433,12,1,,Helen-Keller-Schule,65428,Rüsselsheim,Elsa-Brandström-Allee 11,6142,301930,55,,,,,,,,,,192,,192,192,3019315,poststelle@hks.ruesselsheim.schulverwaltung.hessen.de
4694,435,19,1,,Adolph-Diesterweg-Schule,63477,Maintal,Bücherweg 19,6181,431661,9,,15,,,,,,,,10,,25,10,438140,poststelle@diesterweg.maintal.schulverwaltung.hessen.de
4695,435,17,1,,Fröbelschule,63505,Langenselbold,Rhönstraße 67,6184,902333,9,,,,,,,,,,59,,59,59,902335,poststelle@froebelschule.langenselbold.schulverwaltung.hessen.de
4696,535,8,1,,Helmut-von-Bracken-Schule Herbstein,36358,Herbstein,Pestalozzistraße 3,6643,8680,4,,,,,,,,,,42,,42,42,7558,poststelle@helmut-von-bracken.herbstein.schulverwaltung.hessen.de
4697,535,11,1,,Reinickendorf-Schule,36341,Lauterbach (Hessen),Am Eichberg 5,6641,3993,6,,,,,,,,,,41,,41,41,6409610,poststelle@reinickendorf.lauterbach.schulverwaltung.hessen.de
4698,533,3,1,,Freiherr-von-Schütz-Schule,65520,Bad Camberg,Frankfurter Straße 15-19,6434,9320,23,%,32,,,,,,,,193,,225,193,932190,poststelle@fvss.bad-camberg.schulverwaltung.hessen.de
4700,533,9,1,,Albert-Schweitzer-Schule,65549,Limburg an der Lahn,Wiesbadener Straße 13,6431,4652,16,,,,,,,,,,111,,111,111,47388,poststelle@albert-schweitzer.limburg.schulverwaltung.hessen.de
4702,436,6,2,,Peter-Josef-Briefs-Schule,65239,Hochheim am Main,Burgeffstraße 42,6146,908181,13,%,,,,,,,,,151,,151,151,908281,info@antoniushaus-hochheim.de
4703,436,7,1,,Johann-Hinrich-Wichern-Schule,65719,Hofheim am Taunus,Erfurter Straße 6,6192,929030,32,,,,,,,,,,106,,106,106,929031,poststelle@j-h-wichern.hofheim.schulverwaltung.hessen.de
4704,436,7,2,,Schule am Vincenzhaus,65719,Hofheim am Taunus,Vincenzstraße 29,6192,209441,5,%,,,,,,,,,65,,65,65,209452,vincenzhaus.schule@caritas-frankfurt.de
4705,436,7,1,,Friedrich-von-Bodelschwingh-Schule,65719,Hofheim am Taunus,Königsberger Weg 31,6192,293260,23,,,,,,,,,,107,,107,107,293266,poststelle@bodelschwingh.hofheim.schulverwaltung.hessen.de
4706,436,8,1,,Anne-Frank-Schule,65779,Kelkheim (Taunus),Lorsbacher Straße 26,6195,979490,35,,,,,,,,,,73,,86,86,9794966,poststelle@anne-frank.kelkheim.schulverwaltung.hessen.de
4707,533,17,1,,Windhofschule,35781,Weilburg,Am Windhof,6471,7590,10,,,,,,,,,,130,,130,130,922783,poststelle@windhof.weilburg.schulverwaltung.hessen.de
4709,434,1,1,,Pestalozzischule Bad Homburg,61350,Bad Homburg v. d. Höhe,Wiesbadener Straße 27,6172,83650,16,,10,29,,,,,,,94,,133,123,84994,poststelle@pes.bad-homburg.schulverwaltung.hessen.de
4711,434,8,1,,Hans-Thoma-Schule,61440,Oberursel (Taunus),Im Portugall 15,6171,911801,25,,,,,,,,,,195,,195,195,9179030,poststelle@hts.oberursel.schulverwaltung.hessen.de
4712,434,8,1,,Helen-Keller-Schule,61440,Oberursel (Taunus),Im Portugall 15,6171,588090,13,,,,,,,,,,72,,72,72,5880941,poststelle@hks.oberursel.schulverwaltung.hessen.de
4713,438,1,1,,Helen-Keller-Schule,63128,Dietzenbach,Arminiusstraße 45,6074,32777,68,,,,,,,,,,122,,134,134,814294,poststelle@helen-keller.dietzenbach.schulverwaltung.hessen.de
4714,438,6,1,,Janusz-Korczak-Schule,63225,Langen,Zimmerstraße 66,6103,976171,24,,,,,,,,,,85,,85,85,976173,poststelle@janusz-korczak.langen.schulverwaltung.hessen.de
4716,438,9,1,,Friedrich-Fröbel-Schule,63263,Neu-Isenburg,Offenbacher Straße 162,6102,34245,33,,5,,,,,,,,170,,175,170,31847,poststelle@friedrich-froebel.neu-isenburg.schulverwaltung.hessen.de
4717,438,13,1,,Don-Bosco-Schule,63500,Seligenstadt,Mainflinger Straße 17,6182,3009,22,,,,,,,,,,119,,119,119,200663,poststelle@don-bosco.seligenstadt.schulverwaltung.hessen.de
4718,438,2,1,,Georg-Büchner-Schule,63303,Dreieich,Konrad-Adenauer-Straße 22,6103,373064,52,,,,,,,,,,160,,177,177,36246,poststelle@georg-buechner.dreieich.schulverwaltung.hessen.de
4719,438,11,1,,Friedrich-von-Bodelschwingh-Schule,63110,Rodgau,Pfarrgasse 6,6106,4846,20,,,,,,,,,,57,,57,57,649998,poststelle@bodelschwingh.rodgau.schulverwaltung.hessen.de
4720,435,25,1,,Bergwinkelschule -BFZ-,36381,Schlüchtern,Am Schwimmbad 1,6661,7472530,10,,,,,,,,,,109,,109,109,7472540,poststelle@bergwinkelschule.schluechtern.schulverwaltung.hessen.de
4721,435,27,1,,Sprachheilschule,36391,Sinntal,Seemeweg 21,6664,402295,3,,16,,,,,,,,58,,74,58,402296,poststelle@sprachheilschule.sinntal.schulverwaltung.hessen.de
4722,435,25,1,,Heinrich-Hehrmann-Schule,36381,Schlüchtern,In den Sauren Wiesen 2,6661,4091,9,,,,,,,,,,57,,57,57,730828,poststelle@hehrmann.schluechtern.schulverwaltung.hessen.de
4723,435,27,2,,Johann-August-Waldner-Schule,36391,Sinntal,Birkenweg 15,6664,87155,17,%,,,,,,,,,28,,42,42,87143,poststelle@ja-waldner.sinntal.schulverwaltung.hessen.de
4724,439,8,1,,Max-Kirmsse-Schule,65510,Idstein,Kirmsseweg 10-12,6126,23282,8,,,,,,,,,,95,,95,95,588810,poststelle@mks.idstein.schulverwaltung.hessen.de
4725,439,8,1,,Erich Kästner-Schule,65510,Idstein,Auf der Au 36,6126,3250,11,,,,,,,,,,97,,97,97,92467,poststelle@eks.idstein.schulverwaltung.hessen.de
4726,439,8,1,,Feldbergschule,65510,Idstein,Großer Feldbergweg 4,6126,23350,2,,,,,,,,,,88,,88,88,2013,poststelle@feldberg.idstein.schulverwaltung.hessen.de
4727,439,2,1,,Janusz-Korczak-Schule,65307,Bad Schwalbach,Rudolf-Höhn-Straße 23,6124,8538,5,,,,,,,,,,61,,61,61,720318,poststelle@jks.bad-schwalbach.schulverwaltung.hessen.de
4728,439,6,1,,Lindenschule,65329,Hohenstein,Bleidenstadter Weg 14,6120,1302,12,,,,,,,,,,66,,66,66,900351,poststelle@lindenschule-breithardt.hohenstein.schulverwaltung.hessen.de
4729,434,12,1,,Heinrich-Kielhorn-Schule,61273,Wehrheim,Schulstraße 3-5,6081,5288,23,,,,,,,,,,72,,72,72,586369,poststelle@hki.wehrheim.schulverwaltung.hessen.de
4730,532,23,1,,Friedrich-Fröbel-Schule,35578,Wetzlar,Franzenburg 6,6441,76952,14,,,,,,,,,,133,,133,133,974980,poststelle@friedrich-froebel.wetzlar.schulverwaltung.hessen.de
4731,532,23,1,,Schule an der Brühlsbacher Warte,35578,Wetzlar,Stoppelberger Hohl 89 a,6441,4458960,17,,,,,,,,,,205,,205,205,44589642,poststelle@bruehlsbacherwarte.wetzlar.schulverwaltung.hessen.de
4732,411,0,1,,Christoph-Graupner-Schule,64289,Darmstadt,Vogelsbergstraße 38,6151,132832,24,,,,,,,,,,127,,127,127,133411,poststelle@cgs.darmstadt.schulverwaltung.hessen.de
4733,432,22,1,,Dahrsbergschule,64342,Seeheim-Jugenheim,Schuldorf Bergstraße,6257,84447,7,,,,,,,,,,37,,37,37,869155,poststelle@dbs.seeheim-jugenheim.schulverwaltung.hessen.de
4735,440,11,1,,Hammerwaldschule,63697,Hirzenhain,Bahnhofstraße 3,6045,953881,16,,,,,,,,,,130,,130,130,953882,poststelle@hwhi.hirzenhain.schulverwaltung.hessen.de
4736,531,2,1,,Georg-Kerschensteiner-Schule,35444,Biebertal,An der neuen Schule,6409,2032,12,,,,,,,,,,110,,110,110,1540,poststelle@georg-kerschensteiner.biebertal.schulverwaltung.hessen.de
4740,433,5,1,,Georg-August-Zinn-Schule,65462,Ginsheim-Gustavsburg,Pestalozzistraße 10,6134,51430,11,,,,,,,,,,55,,55,55,53743,poststelle@georg-august-zinn.ginsheim-gustavsburg.schulverwaltung.hessen.de
4741,433,7,1,,Karl-Krolopper-Schule,65451,Kelsterbach,Potsdamer Weg 4 - 6,6107,986890,39,,,,,,,,,,72,,72,72,9868913,poststelle@kks.kelsterbach.schulverwaltung.hessen.de
4742,533,9,1,,Astrid-Lindgren-Schule,65549,Limburg an der Lahn,Wiesbadener Straße 11,6431,42614,10,,,,,,,,,,102,,102,102,496383,poststelle@astrid-lindgren.limburg.schulverwaltung.hessen.de
4743,437,6,1,,Schule am Drachenfeld,64711,Erbach,Anne-Frank-Straße 5,6062,912530,17,,,,,,,,,,97,,97,97,912532,poststelle@schule-am-drachenfeld.erbach.schulverwaltung.hessen.de
4745,440,19,1,,Erich-Kästner-Schule Ortenberg,63683,Ortenberg,Am Kloster 5-7,6041,5333,14,,,,,,,,,,123,,123,123,821008,poststelle@ekko.ortenberg.schulverwaltung.hessen.de
4747,440,16,1,,Gudrun-Pausewang-Schule,63667,Nidda,Am Heiligen Kreuz 34,6043,985347,,,,,,,,,,,31,,31,31,985356,poststelle@gpwn.nidda.schulverwaltung.hessen.de
4749,439,3,1,,Heinrich-Böll-Schule,65346,Eltville am Rhein,Kloster-Eberbach-Straße 4,6123,602422,,,,,,,,,,,47,,47,47,602511,poststelle@hbs.eltville.schulverwaltung.hessen.de
4750,431,2,1,,Seebergschule,64625,Bensheim,Darmstädter Straße 80-82,6251,17790,27,,,,,,,,,,173,,173,173,177926,poststelle@sfpb.bensheim.schulverwaltung.hessen.de
4752,412,0,1,,Schule am Sommerhoffpark,60327,Frankfurt am Main,Gutleutstraße 295,69,2426860,51,,14,,,,,,,,182,,196,182,24268620,poststelle@sas.frankfurt.schulverwaltung.hessen.de
4753,532,6,1,,Otfried-Preußler-Schule,35683,Dillenburg,Am Forstdenkmal,2771,6352,8,,,,,,,,,,86,,86,86,829234,poststelle@otfried-preussler.dillenburg.schulverwaltung.hessen.de
4754,435,18,1,,Brentano-Schule,63589,Linsengericht,Brentanostraße 1-3,6051,72066,16,,9,,,,,,,,135,,144,135,740521,poststelle@brentano.linsengericht.schulverwaltung.hessen.de
4755,435,21,1,,Johann-Hinrich-Wichern-Schule,61130,Nidderau,Jahnstraße 2,6187,24486,16,,15,,,,,,,,172,,187,172,900341,poststelle@wichern.nidderau.schulverwaltung.hessen.de
4756,432,4,1,,Gustav-Heinemann-Schule,64807,Dieburg,Auf der Leer 20,6071,25654,16,,6,,,,,,,,100,,106,100,207522,poststelle@ghs.dieburg.schulverwaltung.hessen.de
4757,535,5,1,,Pestalozzischule Gemünden,35329,Gemünden (Felda),Lindenweg 1,6634,919340,,,,,,,,,,,57,,57,57,919342,poststelle@pestalozzi-foerd.gemuenden.schulverwaltung.hessen.de
4758,412,0,2,,Schule am Sachsenhäuser Berg,60599,Frankfurt am Main,Hainer Weg 98,69,6809090,6,,,,,,,,,,124,,124,124,68090922,poststelle@sachsenhaeuserberg.frankfurt.schulverwaltung.hessen.de
4759,413,0,1,,Erich Kästner-Schule,63065,Offenbach am Main,Geleitsstraße 18,69,80652147,37,,13,,,,,,,,146,,159,146,80652349,poststelle@kaestner.offenbach.schulverwaltung.hessen.de
4760,535,16,1,,Digmudis-Schule,63679,Schotten,Vogelsbergstraße 137,6044,2347,2,,,,,,,,,,36,,36,36,950871,poststelle@digmudis.schotten.schulverwaltung.hessen.de
4761,432,4,1,,Anne-Frank-Schule,64807,Dieburg,Am Wall 34,6071,201382,31,,,,,,,,,,119,,119,119,201383,poststelle@afs.dieburg.schulverwaltung.hessen.de
4762,432,2,1,,Eduard-Flanagan-Schule,64832,Babenhausen,Bürgermeister-Willand-Str. 3,6073,5951,23,,,,,,,,,,73,,84,84,711720,poststelle@efs.babenhausen.schulverwaltung.hessen.de
4763,431,17,1,,Weschnitztalschule,69509,Mörlenbach,Schlesierstraße 2,6209,3755,17,,,,,,,,,,122,,122,122,712364,poststelle@sfl.moerlenbach.schulverwaltung.hessen.de
4764,532,12,1,,Rehbergschule,35745,Herborn,Austraße 40,2772,504226,,,3,,,,,,,,118,,121,118,504479,poststelle@rehberg.herborn.schulverwaltung.hessen.de
4765,433,11,1,,Peter-Härtling-Schule,64560,Riedstadt,Philippshospital,6158,183361,,,1,,,,,,,,114,,115,114,183314,poststelle@phs.riedstadt.schulverwaltung.hessen.de
4767,535,1,1,,Brüder-Grimm-Schule Alsfeld,36304,Alsfeld,Landgraf-Hermann-Str. 19,6631,71112,2,,,,,,,,,,55,,55,55,800648,poststelle@brueder-grimm.alsfeld.schulverwaltung.hessen.de
4768,533,17,1,,Walderbachschule,35781,Weilburg,Kruppstraße 6a,6471,30182,7,,,,,,,,,,45,,45,45,3790620,poststelle@walderbach.weilburg.schulverwaltung.hessen.de
4770,433,12,1,,Borngrabenschule,65428,Rüsselsheim,Im Apfelgarten 3,6142,550760,47,,,,,,,,,,119,,136,136,5507615,poststelle@bgs.ruesselsheim.schulverwaltung.hessen.de
4771,412,0,2,,Alois-Eckert-Schule,60318,Frankfurt am Main,Eschenheimer Anlage 20 A,69,5962716,5,,,,,,,,,,38,,38,38,59790150,alois-eckert-schule@t-online.de
4773,435,1,2,,Comenius-Schule,63619,Bad Orb,Würzburger Straße 7-11,6052,87562,24,,2,,,,,,,,139,,141,139,87500,schulleitung@comeniusschule.de
4775,438,6,1,,Erich-Kästner-Schule,63225,Langen,Zimmerstraße 70,6103,25210,17,,,,,,,,,,106,,106,106,53545,poststelle@erich-kaestner.langen.schulverwaltung.hessen.de
4776,414,0,2,,Agnes-Neuhaus-Schule,65193,Wiesbaden,Platter Straße 72-80,611,580334,,,,,,,,,,,34,,34,34,580353,ans@johannesstift.de
4777,414,0,1,,Brückenschule,65199,Wiesbaden,Karl-Arnold-Straße 14,611,317696,32,,,,,,,,,,105,,105,105,315993,poststelle@schule-fuer-kranke.wiesbaden.schulverwaltung.hessen.de
4779,432,14,2,,Christophorus-Schule,64367,Mühltal,Rheinstraße 46,6151,55088,7,,,,,,,,,,123,,123,123,55033,sekretariat@christophorus-schule-muehltal.de
4780,531,5,2,,Agnes-Neuhaus-Schule,35392,Gießen,Wartweg 15-23,641,2001300,2,,,,,,,,,,77,,77,77,200113,a.neuhaus.schule@skf-giessen.de
4781,433,6,1,,Astrid-Lindgren-Schule,64521,Groß-Gerau,Jahnstraße 35,6152,83093,18,,25,,,,,,,,191,,216,191,86267,poststelle@astrid-lindgren.gross-gerau.schulverwaltung.hessen.de
