Staatl. Schulamt,Landkreis/ kreisfr. Stadt,Schulart/ Org.form,Dst-Nr.:,Schulname,Plz,Ort,"Straße, Haus-Nr.",Telefon,Telefax,E-Mail,Homepage,Schulleitung
SN,LUP,GS,75136003,"Grundschule ""Fritz Reuter"", Crivitz",19089,Crivitz,Schulstraße 1,03863/333540,03863/502097,gsfr@freenet.de,www.grundschule-crivitz.de,"Darnstädt, Silke"
SN,LUP,GS,75136005,Grundschule Dabel,19406,Dabel,Am Mattenstieg 1K,038485/20242,038458/50402,grundschule-dabel@t-online.de,,"Damme, Annett"
SN,LUP,GS,75136007,Grundschule Domsühl,19374,Domsühl,Parchimer Straße 39,038728/22547,038728/22565,grundschule.domsuehl@web.de,www.Grundschule.Domsuehl.de,"Groß, Petra"
SN,LUP,GS,75136008,Grundschule Groß Godems,19372,Groß Godems,Lange Straße 15,038725/20282,038725/55443,GSGr.Godems@t-online.de,,"Frericks, Regine"
SN,LUP,GS,75136009,ORI-Grundschule Leezen,19067,Leezen,Lindenallee 10,03866/284,03866/470247,ori-grundschule@amt-crivitz.de,www.ori-grundschule-leezen.de,"Goy, Annegret"
SN,LUP,GS,75136010,Grundschule Lübz,19386,Lübz,Schützenstraße 35,038731/22725,038731/22725,grundschule@luebz.de,www.grundschule-luebz.de,"Kaltenstein, Doris"
SN,LUP,GS,75136012,Grundschule Matzlow,19372,Matzlow,Parchimer Straße 9,038726/80101,038726/22874,Grundschule.Matzlow@t-online.de,www.gs.matzlow.de,"Burchard, Marion"
SN,LUP,GS,75136013,Grundschule Mestlin,19374,Mestlin,Marx-Engels-Platz 2,038727/81337,038727/81337,gsmestlin@t-online.de,,"Höfs, Gudrun"
SN,LUP,GS,75136014,"Grundschule ""Adolf Diesterweg"", Parchim",19370,Parchim,Mönchhof 7,03871/212709,03871/602854,diesterwegschule-parchim@web.de,,"Brendler-Porenski, Christiane"
SN,LUP,GS,75136015,"Grundschule ""West"", Parchim",19370,Parchim,Hans-Beimler-Straße 24b,03871/441006,03871/421288,weststadtschule@parchim.de,www.grundschulewest-parchim.de,"Plettner, Ines"
SN,LUP,GS,75136016,"Grundschule ""Goethe"", Parchim",19370,Parchim,Wallallee 1,03871/602756,03871/6069729,goethegrundschule@parchim.de,,"Oberlach, Marita"
SN,LUP,GS,75136018,"Grundschule ""Kantor Carl Ehrich"", Plau am See",19395,Plau am See,Lange Straße 25,038735/44320,038735/49608,grundschule.plau@freenet.de,www.gs-kantor-carl-ehrich.de,"Kufahl, Marion"
SN,LUP,GS,75136021,"Grundschule ""Alexander Behm"", Sternberg",19406,Sternberg,Finkenkamp 17,03847/2622,03847/311951,grundschule@finkenkamp.de,www.grundschule-sternberg.de,"Schwedt, Heike"
SN,LUP,GS,75136023,Grundschule Sukow,19079,Sukow,Hauptstraße 16,03861/2701,03861/302026,Grundschule-Sukow@t-online.de,www.grundschule-sukow.de,"Warkentin, Birgit"
SN,LUP,GS,75136033,Grundschule Passow,19386,Passow,Charlottenhofer Weg 57A,038731/24036,038731/20987,schule@gemeinde-passow.de,,"Kube, Gabi"
SN,LUP,GS,75136034,Grundschule Plate,19086,Plate,Fr.-Wehmer-Straße 52,03861/2024,03861/300891,grundschule-plate@t-online.de,www.naturgrundschule-plate.de,"Radke, Sonja"
SN,LUP,GS,75136054,"Grundschule ""John Brinckman"", Goldberg",19399,Goldberg,Schützenplatz 2,038736/40756,038736/40834,grundschule.goldberg@googlemail.com,,"Wüster, Annett"
SN,LUP,FöL,75235463,Förderschule mit den Förderschwerpunkten Lernen und geistige Entwicklung Boizenburg,19258,Boizenburg/Elbe,Theodor-Körner-Straße 5,038847/297920,038847/297927,foerderschule.boizenburg@t-online.de,www.schule-bzbg.de,"Fechner, Silvia"
SN,LUP,FöL,75235465,Diesterwegschule Hagenow; Schule mit dem Förderschwerpunkt Lernen,19230,Hagenow,Bahnhofstraße 130,03883/727042,03883/727042,foerderschule-hagenow@t-online.de,,"Hüter, Siegfried"
SN,LUP,FöL,75235466,"Förderschule ""Johann-Heinrich-Pestalozzi"" Ludwigslust; Schule mit dem Förderschwerpunkt Lernen",19288,Ludwigslust,J.-Gillhoff-Straße 17,03874/22029,03874/666801,Foerderschule-Ludwigslust@t-online.de,,"Liedtke, Jörg"
SN,LUP,FöG,75235469,Förderschule mit dem Förderschwerpunkt geistige Entwicklung Hagenow,19230,Hagenow,Bahnhofstraße 132,03883/724101,03883/641456,schulezilhagenow@t-online.de,,"Puchert, Christiane"
SN,LUP,FöG,75235470,Schule an der Bleiche Ludwigslust; Schule mit dem Förderschwerpunkt geistige Entwicklung,19288,Ludwigslust,Fr.-Naumann-Allee 37,03874/21922,03874/3206669,schulezilb-ludwigslust@t-online.de,,"Peter, Katrin"
SN,LUP,FöL,75236063,Schule am Neuen Teich Lübz - Schule mit dem Förderschwerpunkt Lernen,19386,Lübz,Neuer Teich 1,038731/22838,038731/21192,bernd.kusebauch@kreis-lup.de,,"Petzak, Steffen"
SN,LUP,FöL,75236064,"Pestalozzischule - Schule mit dem Förderschwerpunkt Lernen, Parchim",19370,Parchim,Brunnenstraße 21,03871/212796,03871/451414,sekretariat@perstalozzischule-parchim.de,,"Lovin, Cordula"
SN,LUP,FöG,75236065,Schule am Alten Hafen Parchim - Schule mit dem Förderschwerpunkt geistige Entwicklung,19370,Parchim,Ziegendorfer Chaussee 11,03871/443132,03871/4689873,Sekretariat@sfg-parchim.de,www.sfg-parchim.de,"Pradel, Anett"
SN,LUP,FöL/FöG,75236067,Schule mit den Förderschwerpunkten Lernen und geistige Entwicklung Sternberg,19406,Sternberg,Am Berge 3a,03847/435330,03847/435333,afsstbg@t-online.de,,"Laß, Annett"
SN,LUP,KGS/GS,75335447,"Gymnasiales Schulzentrum ""Felix Stillfried"", Stralendorf",19073,Stralendorf,Schulstraße 4,03869/7437,03869/7809809,kontakt@schulzentrum-stralendorf.de,www.schulzentrum-stralendorf.de,"Kreimer, Thilo"
SN,LUP,"KGS/GS/
FöL",75335456,"Gymnasiales Schulzentrum ""Fritz Reuter"" Dömitz",19303,Dömitz,Roggenfelder Straße 30A,038758/35540,038758/3554100,info@schulzentrum-doemitz.de,www.schulzentrum-doemitz.de,"Timmermann, Evelyn"
SN,LUP,KGS,75335462,Gymnasiales Schulzentrum Wittenburg,19243,Wittenburg,Lindenstraße 13,038852/8080,038852/52500,info@schulzentrum-wittenburg.de,www.schulzentrum-wittenburg.de,"Kühnel, Michael"
SN,LUP,KGS,75336062,Verbundene Regionale Schule und Gymnasium Sternberg,19406,Sternberg,Seestraße 1a,03847/435340,03847/4353443,Sekretariat@kgs-sternberg.de,www.kgs-sternberg.de,"Langpap, Petra"
SN,LUP,RegS,75435431,"Regionale Schule Friedrich Rohr, Grabow",19300,Grabow,Prislicher Straße 23,038756/22352,038756/22353,regionaleschulegrabow@googlemail.com,www.regionale-schule-grabow.de,"Bloßfeld, Jutta"
SN,LUP,RegS,75435433,"Regionale Schule ""P. J. Lenné"", Ludwigslust",19288,Ludwigslust,Rennbahnweg 1,03874/29162,03874/665230,Lenne-Schule-LWL@t-online.de,www.lenne-schule-ludwigslust.de,"Schulz, Jutta"
SN,LUP,RegS/GS,75435434,"Regionale Schule mit Grundschule ""Lindenschule"", Lübtheen",19249,Lübtheen,Rudolf-Breitscheid-Straße 30,038855/785180,038855/785189,realschule.luebtheen@t-online.de,,"Cordt, Andreas"
SN,LUP,RegS,75435435,Regionale Schule Malliß,19294,Malliß,Schulstraße 1,038750/20292,038750/22490,regsmalliss@t-online.de,www.malliss.com,"Quade, Rosemarie"
SN,LUP,RegS,75435437,"Regionale Schule ""Karl-Scharfenberg-Schule"", 
Neustadt-Glewe",19306,Neustadt-Glewe,Laascher Straße 57,038757/33113,038757/33114,Karl-Scharfenberg-Schule@web.de,,"Ott, Ute"
SN,LUP,RegS,75435438,"Regionale Schule ""Rudolf Tarnow"", Boizenburg",19258,Boizenburg/Elbe,R.-Markmann-Straße 59,038847/54312,038847/624870,info@tarnow-schule.de,www.tarnow-schule-boizenburg.de,"Dahlmann, Jörg"
SN,LUP,RegS,75435441,"Regionale Schule ""Prof. Dr. Friedrich Heincke"", Hagenow",19230,Hagenow,Möllner Straße 12,03883/723012,03883/618555,Realschule-II-Hagenow@t-online.de,www.rs-2-hgn.de,"Schmidt, Kirsten"
SN,LUP,RegS/GS,75435443,"Regionale Schule mit Grundschule ""Europaschule"", Hagenow",19230,Hagenow,Kießender Ring 6,03883/721029,03883/724943,rs4_hagenow@arcor.de,www.europaschule-hagenow.eu,"Janitz, Sabine"
SN,LUP,RegS/GS,75435445,"Regionale Schule mit Grundschule ""Theodor Körner"", Picher",19230,Picher,Hagenower Straße 7a,038751/20234,038751/21203,schulepicher@gmail.com,www.schulepicher.eu,"Tiede, Michael"
SN,LUP,RegS/GS,75435446,"Regionale Schule mit Grundschule ""Dr. Ernst Alban"", Rastow",19077,Rastow,Schulstraße 5,03868/300683,03868/292,schulleiter@eas-rastow.de,www.schule-rastow.de,"Booß, Torsten"
SN,LUP,RegS/GS,75435449,"Regionale Schule mit Grundschule, Vellahn",19260,Vellahn,Schulstraße 2,038848/20209,038848/22418,rs.vellahn@t-online.de,www.vellahn-regionale-schule.de,"Booß, Sabine"
SN,LUP,RegS/GS,75435454,"Regionale Schule mit Grundschule ""Fritz Reuter"", Zarrentin",19246,Zarrentin,Rosenstraße 27,038851/81130,038851/81131,SchuleZarrentin@web.de,www.schule-zarrentin.de,"Hollstein, Heide"
SN,LUP,RegS,75436031,"Regionale Schule ""J. W. v. Goethe"", Parchim",19370,Parchim,Wallallee 1,03871/4226590,03871/212424,goetheschule@parchim.de,www.goetheschule-parchim.de,"Dreeser, Peter-Michael"
SN,LUP,RegS,75436035,Regionale Schule Brüel,19412,Brüel,Vogelstangenberg 6,038483/293030,038483/293013,elusch-brueel@t-online.de,www.regionale-schule-brueel.de,"Schuhmann, Christina"
SN,LUP,RegS,75436036,"Regionale Schule ""Am Mühlenberg"", Cambs",19067,Cambs,Retgendorfer Weg 24,03866/326,03866/80719,regionale-schule-cambs@t-online.de,,"Grimm, Heike"
SN,LUP,RegS,75436037,Regionale Schule Crivitz,19089,Crivitz,Straße der Freundschaft 19 a,03863/50240,03863/502422,sekretariat@regionalschule-crivitz.de,www.regionalschule-crivitz.de,"Dähn, Egbert"
SN,LUP,RegS,75436040,"Regionale Schule ""Eldetalschule"", Domsühl",19374,Domsühl,Parchimer Straße 39,038728/20236,038728/22565,regionale.schule.domsuehl@web.de,www.eldetalschule.de,"Weimer, Bernhard"
SN,LUP,RegS,75436041,Regionale Schule Lübz,19386,Lübz,Schützenstraße 35,038731/22602,038731/36606,regionale-schule@luebz.de,www.regionale-schule-luebz.de,"Birnitzer, Cerstin"
SN,LUP,RegS/GS,75436042,Regionale Schule mit Grundschule Marnitz,19376,Marnitz,Mooster Straße 10,038729/29097,038729/29099,info@schule-marnitz.de,www.schule-marnitz.de,"Janke, Babett"
SN,LUP,RegS,75436045,"Regionale Schule ""Fritz Reuter"", Parchim",19370,Parchim,Mönchhof 6,03871/212818,03871/450320,reuterschule@parchim.de,www.fritzreuterschule-pch.de,"Ebert, Ute"
SN,LUP,RegS,75436047,"Regionale Schule Schule ""Am Klüschenberg"", Plau am See",19395,Plau am See,Wittstocker Weg 10c,038735/40884,038735/41153,sak.plau@gmail.com,www.schule-plau.de,"Zimmermann, Bierger"
SN,LUP,RegS,75436051,Regionale Schule Banzkow,19079,Banzkow,An der Lewitzmühle 82,03861/7101,03861/302604,postbox@schule-banzkow.de,www.schule-banzkow.de,"Silbernagel, Carola"
SN,LUP,RegS,75436055,"Regionale Schule ""Walter Husemann"", Goldberg",19399,Goldberg,J.-Brinckman-Straße 39,038736/41805,038736/42640,info@whs-goldberg.de,www.whs-goldberg.de,"Hög, Gisela"
SN,LUP,Gy,75535455,"Gymnasium ""Elbe-Gymnasium"", Boizenburg",19258,Boizenburg/Elbe,Ludwig-Reinhard-Straße 21,038847/8110,038847/8111,kontakt@elbe-gymnasium.de,www.elbe-gymnasium.de,"Kersten, Gerald"
SN,LUP,Gy,75535458,"Robert-Stock-Gymnasium, Hagenow",19230,Hagenow,Möllner Straße 14,03883/66105,03883/66106,info@rsg-hgn.de,www.rsg-hgn.de,"Noack, Annett"
SN,LUP,Gy,75535459,"Goethe-Gymnasium, Ludwigslust",19288,Ludwigslust,Christian-Ludwig-Straße 3,03874/42800,03874/428020,Goethe@gymnasium-ludwigslust.de,www.gymnasium-ludwigslust.de,"Detenhoff, Ekkehard"
SN,LUP,Gy,75536059,"Gymnasium Am Sonnenberg, Crivitz",19089,Crivitz,Am Sonnenberg 1,03863/54240,03863/5424111,sekretariat@gymcrivitz.de,www.gymcrivitz.de,"Schmidt, Hans"
SN,LUP,Gy,75536060,"Gymnasium ""Eldenburg"", Lübz",19386,Lübz,Blücher Straße 22a,038731/22686,038731/20016,sekretariat@eldenburg-gymnasium.de,www.eldenburg-gymnasium.de,"Schwarz, Torsten"
SN,LUP,Gy,75536061,"Friedrich-Franz-Gymnasium, Parchim",19370,Parchim,Ziegendorfer Chaussee 71/74,03871/441010,03871/444159,Sekretariat@gymnasium-parchim.de,www.gymnasium-parchim.de,"Merzsch, Volkhard"
NB,MSP,GS,75130201,"Grundschule  Mitte ""Uns Hüsung"", Neubrandenburg",17033,Neubrandenburg,Katharinenstraße 1,0395/5551101,0395/5551151,gsmitte@schulen-nb.de,www.gs-mitte-nb.de ,"Ristau, Anke"
NB,MSP,GS,75130203,"Grundschule Süd, Neubrandenburg",17033,Neubrandenburg,Werner-Seelenbinder-Straße 1,0395/5551765,0395/5551770,sued@gs-nb.de,,"Borchert, Jörg"
NB,MSP,GS,75130205,"Grundschule  Ost ""H. Ch. Andersen"" Europaschule, Neubrandenburg",17036,Neubrandenburg,Robert-Koch-Straße 52,0395/5551188,0395/5551197,post@gs-nb.de,,"Dräger, Hardi"
NB,MSP,GS,75130210,"Grundschule Datzeberg, Neubrandenburg",17034,Neubrandenburg,Rasgrader Straße 4,0395/5551701,0395/5551709,gs.datzeberg@schulen-nb.de,www.gs-datzeberg.de ,"Friese, Ina"
NB,MSP,GS,75130211,"Grundschule Nord ""Am Reitbahnsee"", Neubrandenburg",17034,Neubrandenburg,Traberallee 18,0395/5551941,0395/5551951,gs-nord@schulen-nb.de,,"Mews, Ingeborg"
NB,MSP,GS,75130213,"Grundschule West ""Am See"", Neubrandenburg",17033,Neubrandenburg,Dükerweg 2,0395/5551141,0395/5551175,gswestamsee@schulen-nb.de,www.gs-west-am-see.de ,"Tannert, Petra"
NB,MSP,GS,75135201,Grundschule Altentreptow,17087,Altentreptow,Karlsplatz 7,03961/212936,03964/212937,Grundschule-Altentreptow@t-online.de,,"Bürger, Heike"
NB,MSP,GS,75135202,Grundschule Dargun,17159,Dargun,Am Sportplatz 18,039959/20353,039959/27960,Schule-Dargun@t-online.de,www.schulen-dargun.de,"Schaffrinna, Rita"
NB,MSP,GS,75135203,"Grundschule ""Heinrich Zille"", Demmin",17109,Demmin,Am Klinkenberg 2,03998/222055,03998/2585855,gszilledemmin@web.de,www.gsheinrichzille.homepage.t-online.de,"Sack, Christiane"
NB,MSP,GS,75135210,Grundschule Mölln,17091,Mölln,Schulstraße 1,039602/20615,039602/20615,GSMoelln@t-online.de,,"Möller, Gabriele"
NB,MSP,GS,75135211,"Grundschule ""Pestalozzi"", Malchin",17139,Malchin,Schulplatz 3-4,03994/299015,03994/299016,grundschule-malchin@t-online.de,,"Erdmann, Andreas"
NB,MSP,GS,75135213,Grundschule Sarow,17111,Sarow,Dorfstraße 77,039996/70310,039996/70310,Grundschule-Sarow@t-online.de,,"Engelbrecht, Barbara"
NB,MSP,GS,75135214,"Fritz-Reuter-Grundschule, Stavenhagen",17153,Stavenhagen,Goethestraße 14,039954/276812,039954/276817,grundschule_stavenhagen@t-online.de,,"Luther, Astrid"
NB,MSP,GS,75135226,Grundschule Schönfeld,17111,Schönfeld,Dorfstraße 23,039994/10249,039994/10249,Grundschule-Schoenfeld@t-online.de,,"Rech, Elke"
NB,MSP,GS,75135233,Grundschule Burow ,17089,Burow,Schulstraße 4,03965/210369,03965/210369,grundschuleburow@hotmail.de,,"Röder, Sabine"
NB,MSP,GS,75135234,Grundschule Gielow,17139,Gielow,Straße der Einheit 58,039957/20442,039957/20442,grundschule-gielow@t-online.de,,"Gehl, Hanka"
NB,MSP,GS,75135236,Grundschule Jürgenstorf,17153,Jürgenstorf,Birkenweg 2,039955/20231,039955/20231,gs-juergenstorf@gmx.de,,"Wagenknecht, Ines"
NB,MSP,GS,75135503,"Grundschule ""Kletterrose"", Burg Stargard",17094,Burg Stargard,Klüschenberg 17,039603/27924,039603/27923,s.junker@freenet.de,www.grundschule-kletterrose.de,"Junker, Sven"
NB,MSP,GS,75135507,Grundschule Friedland,17098,Friedland,Wollweberstraße 59,039601/21103,039601/369809,rost.grundschule@gmx.de,,"Werth, Claudia"
NB,MSP,GS,75135510,"Grundschule Regenbogen, Mirow ",17252,Mirow,Leussower Weg 9a,039833/20271,039833/27576,gsmirow@t-online.de,www.grundschule-mirow.de,"Rühe, Gabriele"
NB,MSP,GS,75135513,"Grundschule Kiefernheide, Neustrelitz",17235,Neustrelitz,Pestalozzistraße 6,03981/442906,03981/441827,gs.kiefernheide@t-online.de,,"Stietzel, Regina"
NB,MSP,GS,75135514,"Grundschule ""Zum Wasserturm"", Neverin",17039,Neverin,Dorfstraße 30,039608/20503,039608/20098,lehrer@gsneverin.de,www.gsneverin.de,"Romey, Sabine"
NB,MSP,GS,75135524,"Grundschule Am Sandberg, Neustrelitz",17235,Neustrelitz,Sandberg 48,03981/238155,03981/238156,gs.sandberg.ntz@t-online.de,,"Römpagel, Jutta"
NB,MSP,GS,75135533,"Grundschule Pappelhain, Groß Miltzow",17349,Groß Miltzow,Schulstraße 10,03967/410293,03967/410299,pappelhain@aol.com,,"Ballach, Sabine"
NB,MSP,GS,75135547,"Grundschule  ""Daniel Sanders"", Neustrelitz",17235,Neustrelitz,Bachstraße 9,03981/441896,03981/441896,gs.sanders@neustrelitz.de,,"Woigk, Veronika"
NB,MSP,GS,75135602,"Grundschule ""Uns lütt Schaul"", Kargow",17192,Kargow,Federower Straße 12,03991/670040,03991/670040,grundschule-kargow@t-online.de,,"Waschk, Birgit"
NB,MSP,GS,75135603,Grundschule Moltzow,17194,Moltzow,Schulstraße 22,039933/73588,039933/73584,gs-moltzow@t-online.de,,"Peters, Jörg"
NB,MSP,GS,75135607,Grundschule Röbel,17207,Röbel/Müritz,Schulstraße 20,039931/52234,039931/54285,Grundschule-Roebel@t-online.de,,"Schardin, Christa"
NB,MSP,GS,75135608,Grundschule Rechlin,17248,Rechlin,Schulstraße,039823/21204,039823/21829,Grundschule-Rechlin@t-online.de,www.grundschule-rechlin.de,"Quaschning, Holger"
NB,MSP,GS,75135610,"Grundschule ""Käthe Kollwitz"", Waren",17192,Waren (Müritz),Geschwister-Scholl-Straße 31,03991/125645,03991/182866,gs-kaethe-kollwitz@t-online.de,,"Schuldt, Marion"
NB,MSP,GS,75135611,"Grundschule ""Am Papenberg"", Waren",17192,Waren (Müritz),Bgm.-Schlaaff-Straße 26,03991/665740,03991/667717,grundschule.am.papenberg.waren@t-online.de,www.grundschule-am-papenberg.de,"Schabbel, Petra"
NB,MSP,GS,75135618,Grundschule Altenhof,17209,Altenhof,Schulstraße 13,039924/2443,039924/2443,schule-altenhof@t-online.de,,"Sünwoldt, Elke"
NB,MSP,GS,75135621,Grundschule Groß Plasten,17192,Groß Plasten,Neue Straße 32,039934/87605,039934/87324,grundschule.Plasten@t-online.de,www.grundschule-plasten.de,"Kaschel, Roland"
NB,MSP,GS,75135625,"Grundschule ""Goethe"", Malchow",17213,Malchow,Kirchstraße 23-25,039932/18523,039932/47958,grundschule@goetheschule-malchow.de,www.goetheschule-malchow-mecklenburg.de,"Fischer, Anke"
NB,MSP,GS,75135631,Grundschule Wredenhagen,17209,Wredenhagen,Am Burgberg 1,039925/2234,039925/2246,gsburgschule@aol.com,www.grundschule-wredenhagen.de,"Arndt, Bärbel"
NB,MSP,FöL,75230235,"Schule mit dem Förderschwerpunkt Lernen sowie emotionale und soziale Entwicklung Neubrandenburg ""Pestalozzischule"" 
- Förderzentrum -",17033,Neubrandenburg,Ziegelbergstraße 27,0395/599991302,0395/599991309,afsnb@schulen-nb.de,,"Martin, Holger"
NB,MSP,FöSp,75230236,Schule mit dem Förderschwerpunkt Sprache Neubrandenburg - Sprachheilpädagogisches Förderzentrum,17033,Neubrandenburg,Baumhaselstraße 10-12,0395/3699203,0395/3797479,sprachheilschule@schulen-nb.de,www.sprachheilschule-nb.de,"Bombowsky, Catrin"
NB,MSP,FöK,75230237,"Überregionales Förderzentrum mit dem Förderschwerpunkt körperliche-motorische Entwicklung, Neubrandenburg",17033,Neubrandenburg,Robert-Blum-Straße 36,0395/5639511,0395/5639515,schule@uefz-neubrandenburg.de,www.uefz-neubrandenburg.de,"Menzel, Andrea"
NB,MSP,FöG,75230238,"Schule mit dem Förderschwerpunkt geistige Entwicklung Neubrandenburg ""Kranichschule""",17034,Neubrandenburg,B.-Brecht-Straße 1a,0395/4308016,0395/4308040,kranichschule-nb@web.de,www.kranichschule.com,"Jähnig, Ines"
NB,MSP,FöL,75235248,"Lea-Toll-Schule - Schule mit dem Förderschwerpunkt Lernen, Altentreptow",17087,Altentreptow,Poststraße 1,03961/214417,03961/216441,lea.toll@t-online.de,,"Tucholski, Ruth"
NB,MSP,FöL,75235249,"Schule mit dem Förderschwerpunkt Lernen, Demmin",17109,Demmin,Saarstraße 23,03998/222010,03998/258006,afs_dm@web.de,,"Toboldt, Anne"
NB,MSP,FöL,75235250,"""Sonderpädagogisches Förderzentrum - Lindenschule"" - Schule mit dem Förderschwerpunkt Lernen, Malchin",17139,Malchin,Lindenstraße 6,03994/222209,03994/239853,foerderzentrum_malchin@t-online.de,www.foerderzentrum-lindenschule-malchin.de,"Riwaldt, Uta"
NB,MSP,FöG,75235251,"Schule mit dem Förderschwerpunkt geistige Entwicklung, Altentreptow",17087,Altentreptow,Westphalstraße 3,03961/214664,03961/262555,fil.altentreptow@t-online.de,,"Proske, Kerstin"
NB,MSP,FöG,75235252,"Schule Sonnenhof - Schule mit dem Förderschwerpunkt geistige Entwicklung, Demmin",17109,Demmin,Quitzerower Weg 31,03998/222004,03998/259964,schule.sonnenhof@googlemail.com,,"Berndt, Ulrike"
NB,MSP,FöG,75235253,"Schule ""Am Wedenhof""- Schule mit dem Förderschwerpunkt geistige Entwicklung, Malchin",17139,Malchin,Am Wedenhof 6,03994/222365,03994/239426,schuleamwedenhof@t-online.de,,"Siglow, Heike"
NB,MSP,FöL,75235544,"Sonderpädagogisches Förderzentrum - Schule mit Förderschwerpunkt Lernen, Friedland",17098,Friedland,A.-Bebel-Platz 17,039601/20573,039601/20574,foerderzentrum_friedland@web.de,,"Krüger, Kerstin"
NB,MSP,FöL,75235545,"Sonderpädagogisches Förderzentrum - Schule mit Förderschwerpunkt Lernen, Neustrelitz",17235,Neustrelitz,Hittenkofer Straße 28,03981/205449,03981/205446,sekretariat@foerderschule-neustrelitz.de,,"Krog, Petra"
NB,MSP,FöG,75235546,"Tom-Mutters-Schule - Schule mit Förderschwerpunkt geistige Entwicklung, Neustrelitz",17235,Neustrelitz,Höhenstraße 51,03981/443492,03981/443494,tom-mutters-schule@t-online.de,,"Weidemann, Gritt"
NB,MSP,FöG,75235548,Mosaik-Schule - Schule mit Förderschwerpunkt geistige Entwicklung,17349,Holzendorf,Schulstraße 11,03967/461855,03967/461856,info@mosaik-holzendorf.de,,"Bartko, Diana"
NB,MSP,FöL,75235637,Förderschule Röbel - Schule mit dem Förderschwerpunkt Lernen,17207,Röbel/Müritz,Warener Chaussee 4,039931/52262,039931/52262,foeroe@t-online.de,,"Lorenz, Jutta"
NB,MSP,FöL,75235638,"Förderzentrum ""Pestalozzi"" Waren - Schule mit dem Förderschwerpunkt Lernen",17192,Waren (Müritz),Karl-Liebknecht-Straße 8,03991/125433,03991/187074,schulleitung@fds-waren.de,www.blog-foerderzentrum-waren.de,"Tertocha, Elke"
NB,MSP,FöG,75235639,Müritz-Schule Sietow - Schule mit dem Förderschwerpunkt geistige Entwicklung,17209,Sietow,Neubaustraße 14,039931/8450,039931/84523,Mueritz-Schule-Sietow@t-online.de,,"Lotzkat, Lothar"
NB,MSP,IGS,75330233,"Gesamtschule ""Vier Tore"", Integrierte Gesamtschule, Neubrandenburg",17033,Neubrandenburg,Geschwister-Scholl-Straße 14,0395/599991100,0395/599991109,igs17033@web.de,,"Bretschneider, Rüdiger"
NB,MSP,KGS,75335243,"Kooperative Gesamtschule mit gymnasialer Oberstufe, Altentreptow",17087,Altentreptow,Pestalozzistraße 1,03961/215512,03961/215513,sekretariat@kgs-altentreptow.de,www.kgs-altentreptow.de,"Brüllke, Dirk-Michael"
NB,MSP,KGS,75335247,"Reuterstädter Gesamtschule - Europaschule -
Kooperative Gesamtschule, Stavenhagen",17153,Stavenhagen,Straße am Wasserturm 1,039954/22043,039954/27181,reuterstaedter.gesamtschule@t-online.de,www.kgs-stavenhagen.de,"Trautmann, Lutz"
NB,MSP,KGS,75335537,"Kooperative Gesamtschule mit gymnasialer Oberstufe, Friedland",17098,Friedland,Dr. Karl-Bayer-Straße 4,039601/2910,039601/29124,sekretariat@nfg24.de,www.nfg24.de,"Böhnke, Heiko"
NB,MSP,IGS,75335541,"Integrierte Gesamtschule ""Walter Karbe""",17235,Neustrelitz,Lessingstraße 27,03981/455991,03981/455999,IGS-W.Karbe-Ntz@t-online.de,www.gesamtschule-neustrelitz.de,"Goetsch, Hans-Werner"
NB,MSP,KGS,75335614,Fleesenseeschule Malchow - Verbundene Regionale Schule und Gymnasium,17213,Malchow,Schulstraße 3,039932/1660,039932/16633,schulleitung@fleesenseeschule.de,www.fleesenseeschule.de,"Lau, Norbert"
NB,MSP,KGS,75335616,"Schulcampus Röbel, Verbundene Regionale Schule und Gymnasium",17207,Röbel/Müritz,Gotthunskamp 13,039931/52202,039931/52206  ,info@schulcampus-roebel.de,www.schulcampus-roebel.de,"Richter, Hans-Dieter"
NB,MSP,RegS,75430216,"Regionale Schule Mitte  ""Fritz Reuter"", Neubrandenburg",17033,Neubrandenburg,Katharinenstraße 1,0395/5551201,0395/5551173,fritz-reuter-schule@schulen-nb.de,www.myfritz-reuter-schule.de,"Ewald, Judith"
NB,MSP,RegS,75430219,"Regionale Schule ""Am Lindetal"", Neubrandenburg",17036,Neubrandenburg,Kopernikusstraße 4,0395/5551632,0395/5551641,RegSchuleVoss@web.de,,"Stieger, Regine"
NB,MSP,RegS,75430225,"Regionale Schule Nord, Neubrandenburg",17033,Neubrandenburg,Dükerweg 2,0395/5551141,0395/5551175,rgs-nord@schulen-nb.de,,"Mundry-Göthe, Silvana"
NB,MSP,RegS,75435221,"Regionale Schule Siegfried Marcus, Malchin",17139,Malchin,Rudolf-Fritz-Straße 8a,03994/222277,03994/222219,Marcus_Schule_MC@gmx.de,,"Arndt, Ute"
NB,MSP,RegS/GS,75435222,"Regionale Schule mit Grundschule Pestalozzi, Demmin",17109,Demmin,Schützenstraße 1,03998/271111,03998/271115,pestalozzi-schule-demmin@t-online.de,www.pestalozzi-schule-demmin.de,"Bretsch, Dörte"
NB,MSP,RegS,75435227,Regionale Schule Dargun,17159,Dargun,Am Sportplatz 18,039959/20278,039959/27960,schule-dargun@t-online.de,www.schulen-dargun.de,"Frankowiak-Gläßer, Marie-Madlen"
NB,MSP,RegS,75435229,"Regionale Schule ""Fritz Reuter"", Demmin",17109,Demmin,Frauenstraße 18,03998/222072,03998/222072,reuterdemmin@gmx.de,,"Eichhorst, Harald"
